,,,,TODAY(),ROW(a1)
Symbol,Price,Time,Quantity,Date,Orders
AVDL,1.47,07:42:23,100,5/27/2022,1
AVDL,1.54,07:43:43,-100,5/27/2022,2
AVDL,1.44,07:49:52,100,5/27/2022,3
AVDL,1.44,07:53:17,100,5/27/2022,4
AVDL,1.42,08:05:04,-100,5/27/2022,5
AVDL,1.44,08:11:53,-100,5/27/2022,6
AVDL,1.48,08:12:40,100,5/27/2022,7
AVDL,1.47,08:14:42,50,5/27/2022,8
AVDL,1.49,08:15:37,-100,5/27/2022,9
AVDL,1.51,08:16:05,-50,5/27/2022,10
AVDL,1.51,08:16:27,100,5/27/2022,11
AVDL,1.5,08:17:50,-100,5/27/2022,12
AVDL,1.51,08:18:21,100,5/27/2022,13
AMC,12.47,08:26:47,30,5/27/2022,14
AMC,12.41,08:32:42,20,5/27/2022,15
SIGA,10.82,08:36:23,100,5/27/2022,16
SIGA,10.89,08:40:55,-50,5/27/2022,17
SIGA,10.92,08:41:27,-50,5/27/2022,18
AMC,12.5,08:44:08,-30,5/27/2022,19
AVDL,1.52,08:44:17,-100,5/27/2022,20
AMC,12.72,08:51:06,30,5/27/2022,21
AMC,12.62,08:53:53,20,5/27/2022,22
AVDL,1.66,09:08:38,100,5/27/2022,23
AVDL,1.7,09:11:26,-50,5/27/2022,24
AVDL,1.71,09:12:29,-50,5/27/2022,25
AMC,12.68,09:13:33,-50,5/27/2022,26
MSFT,269.22,09:35:49,3,5/27/2022,27
AMD,101.83,09:36:09,3,5/27/2022,28
TSLA,736,09:36:22,1,5/27/2022,29
NVDA,184.85,09:36:33,3,5/27/2022,30
NCLH,15.87,09:37:21,5,5/27/2022,31
NCLH,15.8,09:38:08,5,5/27/2022,32
CCL,13.64,09:38:38,50,5/27/2022,33
FB,192.16,09:42:05,3,5/27/2022,34
FB,191.33,09:42:59,2,5/27/2022,35
AMD,99.99,09:45:34,2,5/27/2022,36
NVDA,182.44,09:46:29,2,5/27/2022,37
AMC,12.55,09:47:32,-20,5/27/2022,38
SHOP,359.66,09:48:57,1,5/27/2022,39
TSLA,740.04,09:50:46,1,5/27/2022,40
BABA,91.78,09:51:40,3,5/27/2022,41
RDBX,8.33,09:54:40,50,5/27/2022,42
RDBX,8.28,10:01:10,-50,5/27/2022,43
AMC,12.84,10:02:31,10,5/27/2022,44
AMC,12.965,10:03:11,-10,5/27/2022,45
AMC,13.28,10:04:51,10,5/27/2022,46
AMC,13.15,10:05:32,-10,5/27/2022,47
MSFT,271.38,10:10:03,3,5/27/2022,48
MRNA,142.89,10:14:13,3,5/27/2022,49
AMC,13.235,10:14:31,5,5/27/2022,50
AMC,13.33,10:16:12,5,5/27/2022,51
MRVL,58.7518,10:18:14,1,5/27/2022,52
CCL,13.48,10:20:43,-50,5/27/2022,53
NVDA,186.26,10:21:57,2,5/27/2022,54
BABA,92.52,10:27:35,1,5/27/2022,55
AMC,12.95,10:28:12,10,5/27/2022,56
NVDA,185,10:30:54,1,5/27/2022,57
SHOP,364.55,10:32:13,1,5/27/2022,58
TSLA,749.09,10:32:37,1,5/27/2022,59
MRNA,144.47,10:34:34,1,5/27/2022,60
MRNA,143.9,10:36:33,1,5/27/2022,61
SQ,89.29,10:41:45,1,5/27/2022,62
MRNA,143.2,10:46:59,1,5/27/2022,63
AVDL,2.35,10:52:20,100,5/27/2022,64
AVDL,2.32,10:55:40,20,5/27/2022,65
AVDL,2.3,10:56:07,30,5/27/2022,66
IMTE,8.78,11:12:53,50,5/27/2022,67
IMTE,8.77,11:13:19,50,5/27/2022,68
IMTE,8.45,11:13:59,-100,5/27/2022,69
AVDL,2.4113,11:16:33,-50,5/27/2022,70
IMTE,8.78,11:20:50,30,5/27/2022,71
AVDL,2.51,11:21:11,-100,5/27/2022,72
AVDL,2.57,11:22:37,100,5/27/2022,73
SIGA,11.84,11:26:32,50,5/27/2022,74
IMTE,9.05,11:28:32,-30,5/27/2022,75
SIGA,12.05,11:33:05,-50,5/27/2022,76
SIGA,12.38,11:45:20,20,5/27/2022,77
SIGA,12.55,11:46:18,10,5/27/2022,78
FTCH,9.645,11:58:59,10,5/27/2022,79
FTCH,9.665,11:59:43,20,5/27/2022,80
AVDL,2.44,12:01:16,20,5/27/2022,81
BB,6.605,12:03:47,40,5/27/2022,82
BB,6.57,12:04:43,10,5/27/2022,83
AVDL,2.485,12:12:34,-70,5/27/2022,84
AVDL,2.34,12:24:35,-50,5/27/2022,85
CNCE,6.72,12:25:09,30,5/27/2022,86
CNCE,6.74,12:26:02,30,5/27/2022,87
AVDL,2.385,12:33:03,50,5/27/2022,88
SIGA,12.8,12:45:03,-30,5/27/2022,89
SIGA,12.9,12:46:45,30,5/27/2022,90
SIGA,13.45,12:47:49,-30,5/27/2022,91
MRNA,145.85,12:50:53,-3,5/27/2022,92
NCLH,16.08,12:51:14,-10,5/27/2022,93
SIGA,13.85,12:52:46,20,5/27/2022,94
FTCH,9.725,12:56:30,-30,5/27/2022,95
MRNA,146.37,12:57:28,-3,5/27/2022,96
MRVL,59.74,12:57:58,-1,5/27/2022,97
AMC,13.34,12:58:46,-20,5/27/2022,98
TSLA,750.76,12:59:29,-1,5/27/2022,99
SHOP,365.27,12:59:44,-1,5/27/2022,100
SQ,89.54,13:01:41,-1,5/27/2022,101
CNCE,6.38,13:05:01,-60,5/27/2022,102
FB,193.92,13:05:40,-5,5/27/2022,103
AMD,100.97,13:06:38,-5,5/27/2022,104
SIGA,14.42,13:08:25,-20,5/27/2022,105
SHOP,364.45,13:09:04,-1,5/27/2022,106
NVDA,185.79,13:09:35,-5,5/27/2022,107
TSLA,751.68,13:10:17,-1,5/27/2022,108
BABA,93.12,13:10:40,-4,5/27/2022,109
MSFT,271.64,13:11:18,-6,5/27/2022,110
NVDA,185.78,13:11:48,-3,5/27/2022,111
TSLA,752.84,13:12:26,-1,5/27/2022,112
BB,6.73,13:12:55,-50,5/27/2022,113
AVDL,2.4,13:20:54,-50,5/27/2022,114
